BOTTLE,20030224WHPSIOdm
#code : jjward hyd_to_exchange.pl 
#original files copied from HTML directory: 20030224
#original HYD file: p14chy.txt   Fri Feb 21 12:53:13 2003
#original SUM file: p14csu.txt   Mon Feb 24 14:35:52 2003
EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,TRITUM,TRITUM_FLAG_W,HELIUM,HELIUM_FLAG_W,DELHE3,DELHE3_FLAG_W,DELC14,DELC14_FLAG_W,DELC13,DELC13_FLAG_W,NEON,NEON_FLAG_W,C14ERR,HELIER,DELHER,NEONER,THETA,TRITER
,,,,,,,,,,,,DBAR,ITS-90,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,TU,,NMOL/KG,,PERCNT,,/MILLE,,/MILLE,,NMOL/KG,,/MILLE,NMOL/KG,PERCNT,NMOL/KG,DEG C,TU
     316N138_7,  P14C,     4,  1,     24,     24,2,19920901,1804,-35.0200, 175.1517, -999,     12.7,  14.2596,  35.3129,2,  35.3126,2,    236.7,2,    237.8,2,     4.00,2,     6.31,2,     0.18,2,     0.57,2,    2.560,2,    1.328,2, -999.000,9,-999.0000,9,  -999.00,9,   -999.0,9,  -999.00,9,-999.000,9,  -999.0,-999.0000,-999.000,-999.000, 14.2577,-999.000
     316N138_7,  P14C,     4,  1,     25,     25,2,19920901,1804,-35.0200, 175.1517, -999,     52.9,  14.0553,  35.3001,2,  35.3006,2,    241.1,2,    239.0,2,     3.96,2,     6.37,2,     0.20,2,     0.57,2, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,   -999.0,9,  -999.00,9,-999.000,9,  -999.0,-999.0000,-999.000,-999.000, 14.0477,-999.000
     316N138_7,  P14C,     4,  1,     26,     26,2,19920901,1804,-35.0200, 175.1517, -999,    102.7,  14.0600,  35.3031,2,  35.3036,2,    237.4,2,    238.4,2,     3.92,2,     6.37,2,     0.20,2,     0.55,2,    2.550,2,    1.324,2, -999.000,9,-999.0000,9,  -999.00,9,   -999.0,9,  -999.00,9,-999.000,9,  -999.0,-999.0000,-999.000,-999.000, 14.0451,-999.000
     316N138_7,  P14C,     4,  1,     27,     27,2,19920901,1804,-35.0200, 175.1517, -999,    151.0,  13.6252,  35.2468,2,  35.2469,2,    234.1,2,    236.0,2,     4.93,2,     7.35,2,     0.29,2,     0.90,2, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,   -999.0,9,  -999.00,9,-999.000,9,  -999.0,-999.0000,-999.000,-999.000, 13.6038,-999.000
     316N138_7,  P14C,     4,  1,     28,     28,2,19920901,1804,-35.0200, 175.1517, -999,    199.2,  13.1394,  35.1754,2,  35.1738,2,    216.7,2,    216.7,2,     5.72,2,    10.24,2,     0.15,2,     0.79,2,    2.172,2,    1.119,2, -999.000,9,-999.0000,9,  -999.00,9,   -999.0,9,  -999.00,9,-999.000,9,  -999.0,-999.0000,-999.000,-999.000, 13.1118,-999.000
     316N138_7,  P14C,     4,  1,     29,     29,2,19920901,1804,-35.0200, 175.1517, -999,    247.0,  12.0787,  35.0433,2,  35.0426,2,    205.7,2,    202.6,2,     7.35,2,    13.70,2,     0.09,2,     1.00,2, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,   -999.0,9,  -999.00,9,-999.000,9,  -999.0,-999.0000,-999.000,-999.000, 12.0462,-999.000
     316N138_7,  P14C,     4,  1,     30,     30,2,19920901,1804,-35.0200, 175.1517, -999,    297.3,  11.3560,  34.9628,2,  34.9617,2,    193.4,2,    194.7,2,     8.35,2,    15.82,2,     0.03,2,     1.14,2,    1.602,2,    0.835,2, -999.000,9,-999.0000,9,  -999.00,9,   -999.0,9,  -999.00,9,-999.000,9,  -999.0,-999.0000,-999.000,-999.000, 11.3184,-999.000
     316N138_7,  P14C,     4,  1,     31,     31,2,19920901,1804,-35.0200, 175.1517, -999,    342.9,  11.2053,  34.9477,2,  34.9422,2,    194.2,2,    193.5,2,     8.93,2,    16.30,2,     0.02,2,     1.15,2, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,   -999.0,9,  -999.00,9,-999.000,9,  -999.0,-999.0000,-999.000,-999.000, 11.1623,-999.000
     316N138_7,  P14C,     4,  1,     32,     32,2,19920901,1804,-35.0200, 175.1517, -999,    392.8,  10.7966,  34.9024,2,  34.9022,2,    191.2,2,    192.0,2,     9.31,2,    17.16,2,     0.01,2,     1.20,2,    1.449,2,    0.742,2, -999.000,9,-999.0000,9,  -999.00,9,   -999.0,9,  -999.00,9,-999.000,9,  -999.0,-999.0000,-999.000,-999.000, 10.7483,-999.000
     316N138_7,  P14C,     4,  1,     33,     33,2,19920901,1804,-35.0200, 175.1517, -999,    441.3,  10.0836,  34.8214,2,  34.8197,2,    191.9,2,    191.7,2,    10.93,2,    18.67,2,     0.01,2,     1.29,2, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,   -999.0,9,  -999.00,9,-999.000,9,  -999.0,-999.0000,-999.000,-999.000, 10.0316,-999.000
